ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Topic_Match
1.0,Facility,"New, comfortable apartments",Positive,,,False
1.0,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,Positive,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",True
1.0,Location,"close to the airport, to very clean beach.",Positive,Positive,"close to the airport, to very clean beach",True
1.0,Off,"on the first floor, to escape the heat in the midday, Nothing at all.",,,,False
1.0,Room,,,Positive,"New, comfortable apartments",False
1.0,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Positive,Staff is extremely helpful and easy to communicate with,True
3.0,Location,the location is great and near the airport. bus stop is very close.,Positive,Positive,the location is great and near the airport. bus stop is very close.,True
4.0,Price,Great Quality/price,Positive,Positive,Great Quality/price,True
4.0,Room,Clean,Positive,Positive,Clean,True
4.0,Staff,Great stuff,Positive,Positive,Great stuff,True
5.0,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,Positive,in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.,True
5.0,Room,Clean and modern with very comfortable beds,Positive,Positive,Clean and modern with very comfortable beds.,True
6.0,Off,We only stayed over night before heading to the airport. ,Positive,,,False
6.0,Room,The room was exceptionally clean with a really comfortable bed,Positive,Positive,The room was exceptionally clean with a really comfortable bed,True
7.0,Off,great,Positive,Positive,great,True
8.0,Location,nice location,Positive,Positive,nice location,True
8.0,Off,"renovated, nothing",Positive,,,False
8.0,Room,,,Positive,renovated,False
8.0,Staff,lovely personal,Positive,Positive,lovely personal,True
9.0,Food,,,Negative,couldn't eat breakfast due to dietary restrictions,False
9.0,Food,,,Positive,possibility of purchasing fresh fruit or veg,False
9.0,Location,,,Positive,nearby bus takes to town-centre (and airport by the way so no need for 21 euro taxi),False
9.0,Off,"couldn't eat breakfast due to dietary restrictions-but, so no need for 21 euro taxi), maybe possibility of purchasing fresh fruit or veg",,,,False
9.0,Price,,,Positive,no need for 21 euro taxi,False
9.0,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,Positive,very helpful host showed us how nearby bus takes to town-centre (and airport by the way so no need for 21 euro taxi),True
10.0,Location,quiet location,Positive,Positive,quiet location,True
10.0,Room,Great modern room comfortable bed,Positive,Positive,Great modern room comfortable bed,True
11.0,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,Positive,the food is great to and very reasonable prices.,True
11.0,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,Positive,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros.,True
11.0,Off," My second time here and true to say it was better than the first which was excellent. I don't think I need to mention where I'll be staying next time I'm in Larnaka.
 Brilliant guys, it's like a real caring family set up ..., which is always so nice.",Positive,,,False
11.0,Price,,,Positive,very reasonable prices.,False
11.0,Room,The rooms are spacious and clean great to stay .. I even got an upgrade,Positive,Positive,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,True
11.0,Staff,"The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Positive,Positive,"The staff here are amazing beyond expectations.. Maria at reception is just great she really took time to explain where to go how to get there and so helpful. Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent smile. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great it's like a real caring family set up.",True
12.0,Check-out,,,Negative,Couldn’t stay longer,False
12.0,Food,The breakfast was lovely with room service too.,Positive,Positive,The breakfast was lovely with room service too.,True
12.0,Off,Couldn’t stay longer,,,,False
12.0,Room,Very clean and comfortable.,Positive,Positive,Very clean and comfortable.,True
12.0,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,Positive,The staff were exceptional. So helpful and friendly. Went out of their way for us.,True
13.0,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,Positive,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",True
13.0,Off,"We stayed 1 week and enjoyed it very much, We would definitely stay again on our next visit to Larnaca, Thank you so much for the great time we had with you.",Positive,Positive,We stayed 1 week and enjoyed it very much. We would definitely stay again on our next visit to Larnaca. Thank you so much for the great time we had with you.,True
13.0,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,Positive,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",True
13.0,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,Positive,"The staff are so welcoming, we felt like staying with family.",True
14.0,Facility,,,Negative,"you have a feeling that people are living in the hotel, rather than staying at a hotel.",False
14.0,Location,,,Negative,"You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",False
14.0,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,Positive,"We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair., There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.",True
14.0,Off,"and you have a feeling that people are living in the hotel, rather than staying at a hotel,  so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",,,,False
14.0,Room,You can hear the airplanes coming and leaving from the airport all the time,Negative,,,False
14.0,Staff,The receptionist didn't speak English properly,Negative,Negative,The receptionist didn't speak English properly.,True
15.0,Location,it is a bit on the edge of Larnaca - with frequent busses to the centre.,Negative,,,False
15.0,Location,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,Positive,"reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach., it is a bit on the edge of Larnaca - with frequent busses to the centre.",True
15.0,Off,,,Negative,"Nothing really, though for a stay for more than a few days",False
15.0,Off,"Second visit. - particularly reception and the dining room, Nothing really, though for a stay for more than a few days - ",,,,False
15.0,Staff,The staff make it ,Positive,Positive,The staff make it - particularly reception and the dining room.,True
16.0,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,Positive,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",True
16.0,Room,"I liked the rooms- they are spacious, clean, the window view is nice too.",Positive,Positive,"I liked the rooms- they are spacious, clean, the window view is nice too.",True
17.0,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,Positive,Our room had a balcony with great view of the sea and surrounding area.,True
17.0,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,Positive,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,True
19.0,Location,Close to airport,Positive,Positive,Close to airport,True
20.0,Facility,,,Positive,clean,False
20.0,Location,,,Positive,location,False
20.0,Off,location,,,,False
20.0,Room,clean,Positive,,,False
20.0,Staff,friendly stuff,Positive,Positive,friendly stuff,True
22.0,Facility,,,Negative,"Fridge could have been put on beforehand so it was cold, the shower took a while to get hot, had to have a cold shower one morning as I needed to get out early.",False
22.0,Facility,,,Positive,When you left it running for around 5 mins it got warm and was a good shower.,False
22.0,Food,"Ordered pizza one night and was not great, too stodgy",Negative,Negative,"Ordered pizza one night and was not great, too stodgy but I'm sure other food is better.",True
22.0,Food,The restaurant area is nice ,Positive,,,False
22.0,Off,"so it was cold. had to have a cold shower one morning as i needed to get out early. When you left it running for around 5 mins it got warm and was a good shower,  but I'm sure other food is better. ",Negative,,,False
22.0,Room,"although might have needed another set of drawers if there were two of us. Fridge could have been put on beforehand, the shower took a while to get hot,",Negative,Negative,might have needed another set of drawers if there were two of us.,True
22.0,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things",Positive,Positive,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things.",True
22.0,Staff,the staff very accomodating.,Positive,Positive,The restaurant area is nice and the staff very accommodating.,True
23.0,Room,the beds were very comfortable,Positive,Positive,the beds were very comfortable,True
24.0,Room,I loved the mattress!!!,Positive,Positive,I loved the mattress!!!,True
25.0,Room,Clean and quiet,Positive,Positive,Clean and quiet,True
26.0,Booking-issue,,,Positive,re booked the hotel for 2 weeks time,False
26.0,Check-out,,,Negative,Leaving..,False
26.0,Food,There is a great restaurant inside where the food is good and not to pricey. ,Positive,Positive,There is a great restaurant inside where the food is good and not to pricey,True
26.0,Location,The hotel is 5 minutes from the beach and the location is also near the lake.,Positive,Positive,The hotel is 5 minutes from the beach and the location is also near the lake,True
26.0,Off,Keep up the great work. Leaving..in fact just re booked the hotel for 2 weeks time 😁,Positive,,,False
26.0,Price,,,Positive,not to pricey,False
26.0,Room,"The rooms are a good size and are laid out very well with a good size bathroom
 The room also has a great sized balcony to take a tea/coffee and 
 chill",Positive,Positive,The rooms are a good size and are laid out very well with a good size bathroom The room also has a great sized balcony to take a tea/coffee and chill,True
26.0,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing ,Positive,Positive,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,True
27.0,Location,perfect for overnight stay before flying from Larnaca Airport.,Positive,Positive,perfect for overnight stay before flying from Larnaca Airport,True
27.0,Off,nothing.,,,,False
27.0,Room,"so comfortable, clean",Positive,Positive,"so comfortable, clean",True
27.0,Staff,friendly staff,Positive,Positive,friendly staff,True
28.0,Location,Surrounding buildings are under construction and poorly lit.,Negative,Negative,Surrounding buildings are under construction and poorly lit.,True
28.0,Off, Thank you,,,,False
28.0,Staff,Staff is very polite and caring. ,Positive,Positive,Staff is very polite and caring.,True
30.0,Location,Great location for restaurants. Great location for a short drive to the airport.,Positive,Positive,Great location for restaurants. Great location for a short drive to the airport.,True
30.0,Off,Not applicable,,,,False
30.0,Room,The room was spotless.,Positive,Positive,The room was spotless.,True
30.0,Staff,Staff were lovely. Service was great.,Positive,Positive,Staff were lovely. Service was great.,True
31.0,Booking-issue,,,Positive,All good,False
31.0,Check-in,,,Positive,All good,False
31.0,Check-out,,,Positive,All good,False
31.0,Facility,,,Positive,All good,False
31.0,Food,Great restaurant beneath the hotel - food excellent & reasonably priced. ,Positive,Positive,"Great restaurant beneath the hotel - food excellent & reasonably priced, All good",True
31.0,Location,Very close to Mackenzy beach & Larnaca airport.,Positive,Positive,"Very close to Mackenzy beach & Larnaca airport, All good",True
31.0,Off,"We would definitely stay there again, All good",Positive,Positive,"We would definitely stay there again, All good",True
31.0,Price,,,Positive,"reasonably priced, All good",False
31.0,Room,"Clean, comfortable,",Positive,Positive,"Clean, comfortable, All good",True
31.0,Staff,friendly staff.,Positive,Positive,"friendly staff, All good",True
31.0,Taxi-issue,,,Positive,All good,False
32.0,Off,Nothing.,,,,False
32.0,Room,The bed was great. Rooms clean. ,Positive,Positive,The bed was great. Rooms clean.,True
32.0,Staff,Staff were so kind.,Positive,Positive,Staff were so kind.,True
34.0,Location,,,Positive,location,False
34.0,Off,location,,,,False
34.0,Price,value for money ,Positive,Positive,value for money,True
34.0,Room,more hooks on walls for towels etc.,Negative,Negative,more hooks on walls for towels etc.,True
34.0,Staff,welcoming ,Positive,Positive,welcoming,True
35.0,Facility,,,Negative,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",False
35.0,Room,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",Negative,,,False
36.0,Check-in,,,Positive,The receptionist on check in was very good and explained the information very clearly to us.,False
36.0,Facility,,,Negative,there was no opening and closing times of the bar on display.,False
36.0,Food,We may have missed it but there was no opening and closing times of the bar on display.,Negative,,,False
36.0,Food,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",Positive,Positive,"his food was excellent, he had passion and it showed in his presentation.",True
36.0,Location,"we were surprised at the location in a small side street,",Negative,,,False
36.0,Location,but it was only a 10-minute walk to the sea front.,Positive,Positive,"When we arrived, we were surprised at the location in a small side street, but it was only a 10-minute walk to the sea front.",True
36.0,Off,,,Negative,not showing opening times.,False
36.0,Off,"When we arrived,",,,,False
36.0,Room,The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows,Negative,Negative,The room was smaller than I expected but as we were only there a few days it was acceptable.,True
36.0,Room,"I had no problem as they were very clean, and the bed was really comfortable.",Positive,Positive,"I am very fussy about beds and pillows, but I had no problem as they were very clean, and the bed was really comfortable.",True
36.0,Staff,The receptionist on check in was very good and explained the information very clearly to us.,Positive,Positive,"The receptionist on check in was very good and explained the information very clearly to us., The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",True
38.0,Room,great rooms - nice and cool,Positive,Positive,great rooms - nice and cool,True
39.0,Room,It was really clean and spacious,Positive,Positive,It was really clean and spacious,True
