ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Cosine_Similarity,IsCorrect
1.0,Facility,"New, comfortable apartments",Positive,,,0.0,False
1.0,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,Positive,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",1.0000000000000002,True
1.0,Location,"close to the airport, to very clean beach.",Positive,Positive,"close to the airport, to very clean beach",1.0000000000000002,True
1.0,Room,,,Positive,"New, comfortable apartments",0.0,False
1.0,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Positive,Staff is extremely helpful and easy to communicate with,1.0000000000000002,True
3.0,Location,the location is great and near the airport. bus stop is very close.,Positive,Positive,the location is great and near the airport. bus stop is very close.,1.0000000000000002,True
4.0,Price,Great Quality/price,Positive,Positive,Great Quality/price,1.0000000000000002,True
4.0,Room,Clean,Positive,Positive,Clean,1.0,True
4.0,Staff,Great stuff,Positive,Positive,Great stuff,1.0,True
5.0,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,Positive,in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.,1.0000000000000002,True
5.0,Room,Clean and modern with very comfortable beds,Positive,Positive,Clean and modern with very comfortable beds.,1.0000000000000002,True
6.0,Room,The room was exceptionally clean with a really comfortable bed,Positive,Positive,The room was exceptionally clean with a really comfortable bed,1.0,True
8.0,Location,nice location,Positive,Positive,nice location,1.0,True
8.0,Room,,,Positive,renovated,0.0,False
8.0,Staff,lovely personal,Positive,Positive,lovely personal,1.0000000000000002,True
9.0,Food,,,Negative,couldn't eat breakfast due to dietary restrictions,0.0,False
9.0,Food,,,Positive,possibility of purchasing fresh fruit or veg,0.0,False
9.0,Location,,,Positive,nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),0.0,False
9.0,Price,,,Positive,no need for 21 euro taxi,0.0,False
9.0,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,Positive,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),0.8173057557535637,True
10.0,Location,quiet location,Positive,Positive,quiet location,1.0000000000000002,True
10.0,Room,Great modern room comfortable bed,Positive,Positive,Great modern room comfortable bed,1.0000000000000002,True
11.0,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,Positive,the food is great to and very reasonable prices.,0.7308899803015504,True
11.0,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,Positive,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros.,1.0000000000000002,True
11.0,Price,,,Positive,very reasonable prices.,0.0,False
11.0,Room,The rooms are spacious and clean great to stay .. I even got an upgrade,Positive,Positive,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,0.8591160432387382,True
