ID,Topics,Text_answer,NegPos_answer,text_output,NegPos,Cosine_Similarity,IsCorrect
1,Room,,,"New, comfortable apartments.",Positive,,False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Staff is extremely helpful and easy to communicate with.,Positive,1.0000000000000002,True
1,Location,"close to the airport, to very clean beach.",Positive,"close to the airport, to very clean beach.",Positive,1.0000000000000007,True
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday.",Positive,0.9999999999999999,True
2,Room,,,although not big.,Negative,,False
2,Room,"The room was very clean, well decorated and modern, although not big.",Positive,"The room was very clean, well decorated and modern.",Positive,0.7765145304745156,True
2,Staff,The staff was very nice and helpful!,Positive,The staff was very nice and helpful. all staff was very kind and helpful.,Positive,0.8903443065535784,True
2,Food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful.",Positive,"the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great.",Positive,0.7744197454069118,True
2,Facility,,,"I like hotels with a family atmosphere, cozy and not big.",Positive,,False
3,Location,the location is great and near the airport. bus stop is very close.,Positive,the location is great and near the airport. bus stop is very close.,Positive,1.0,True
4,Room,,,Clean,Positive,,False
4,Staff,Great stuff,Positive,Great stuff,Positive,1.0000000000000002,True
4,Price,,,Great Quality/price,Positive,,False
5,Room,Clean and modern with very comfortable beds,Positive,Clean and modern with very comfortable beds.,Positive,1.0000000000000004,True
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.,Positive,1.0000000000000007,True
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,The room was exceptionally clean with a really comfortable bed.,Positive,1.0000000000000002,True
8,Staff,lovely personal,Positive,lovely personal,Positive,1.0000000000000002,True
8,Location,nice location,Positive,nice location,Positive,1.0000000000000002,True
8,Facility,,,renovated,Positive,,False
9,Staff,very helpful host showed us how nearby bus takes to town-cntre ,Positive,very helpful host showed us how nearby bus takes to town-centre (and airport by the way so no need for 21 euro taxi),Positive,0.5042231899036942,False
9,Location,,,nearby bus takes to town-centre (and airport by the way so no need for 21 euro taxi),Positive,,False
9,Food,,,couldn't eat breakfast due to dietary restrictions,Negative,,False
9,Price,,,no need for 21 euro taxi,Positive,,False
10,Room,Great modern room comfortable bed,Positive,Great modern room comfortable bed,Positive,1.0000000000000002,True
10,Location,quiet location,Positive,quiet location,Positive,1.0000000000000002,True
