ID,pre_nom,pre_denom,Precision,re_nom,re_denom,Recall,F1
1.0,3,4,0.75,3,4,0.75,0.75
3.0,1,1,1.0,1,1,1.0,1.0
4.0,3,3,1.0,3,3,1.0,1.0
5.0,2,2,1.0,2,2,1.0,1.0
6.0,1,2,0.5,1,1,1.0,0.6666666666666666
8.0,2,3,0.6666666666666666,2,2,1.0,0.8
9.0,1,5,0.2,1,1,1.0,0.33333333333333337
10.0,2,2,1.0,2,2,1.0,1.0
11.0,4,5,0.8,4,4,1.0,0.888888888888889
12.0,3,4,0.75,3,3,1.0,0.8571428571428571
13.0,3,3,1.0,3,3,1.0,1.0
14.0,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
15.0,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
16.0,2,2,1.0,2,2,1.0,1.0
17.0,2,2,1.0,2,2,1.0,1.0
19.0,1,1,1.0,1,1,1.0,1.0
20.0,1,2,0.5,1,2,0.5,0.5
22.0,4,5,0.8,4,5,0.8,0.8000000000000002
23.0,1,1,1.0,1,1,1.0,1.0
24.0,1,1,1.0,1,1,1.0,1.0
25.0,1,1,1.0,1,1,1.0,1.0
26.0,4,6,0.6666666666666666,4,4,1.0,0.8
27.0,3,3,1.0,3,3,1.0,1.0
28.0,2,2,1.0,2,2,1.0,1.0
30.0,3,3,1.0,3,3,1.0,1.0
31.0,4,5,0.8,4,4,1.0,0.888888888888889
32.0,2,2,1.0,2,2,1.0,1.0
34.0,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
35.0,1,1,1.0,1,1,1.0,1.0
36.0,4,6,0.6666666666666666,4,7,0.5714285714285714,0.6153846153846153
38.0,1,1,1.0,1,1,1.0,1.0
39.0,1,1,1.0,1,1,1.0,1.0
40.0,1,2,0.5,1,2,0.5,0.5
41.0,4,5,0.8,4,5,0.8,0.8000000000000002
42.0,2,2,1.0,2,2,1.0,1.0
43.0,1,1,1.0,1,1,1.0,1.0
45.0,2,4,0.5,2,4,0.5,0.5
46.0,1,1,1.0,1,1,1.0,1.0
47.0,2,2,1.0,2,2,1.0,1.0
48.0,2,2,1.0,2,2,1.0,1.0
49.0,3,3,1.0,3,3,1.0,1.0
50.0,1,3,0.3333333333333333,1,2,0.5,0.4
52.0,0,10,0.0,0,0,0.0,0.0
53.0,4,4,1.0,4,4,1.0,1.0
54.0,1,1,1.0,1,1,1.0,1.0
55.0,2,2,1.0,2,2,1.0,1.0
56.0,4,5,0.8,4,4,1.0,0.888888888888889
57.0,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
58.0,3,3,1.0,3,4,0.75,0.8571428571428571
59.0,2,2,1.0,2,2,1.0,1.0
60.0,0,2,0.0,0,1,0.0,0.0
61.0,2,3,0.6666666666666666,2,2,1.0,0.8
62.0,4,5,0.8,4,5,0.8,0.8000000000000002
63.0,1,2,0.5,1,2,0.5,0.5
64.0,4,5,0.8,4,5,0.8,0.8000000000000002
67.0,1,1,1.0,1,1,1.0,1.0
68.0,3,3,1.0,3,3,1.0,1.0
70.0,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333
71.0,3,5,0.6,3,4,0.75,0.6666666666666665
72.0,0,1,0.0,0,1,0.0,0.0
73.0,2,2,1.0,2,2,1.0,1.0
74.0,4,4,1.0,4,4,1.0,1.0
75.0,1,1,1.0,1,1,1.0,1.0
76.0,2,2,1.0,2,3,0.6666666666666666,0.8
77.0,1,1,1.0,1,1,1.0,1.0
78.0,2,2,1.0,2,2,1.0,1.0
79.0,2,2,1.0,2,2,1.0,1.0
80.0,3,4,0.75,3,3,1.0,0.8571428571428571
81.0,3,3,1.0,3,3,1.0,1.0
82.0,3,3,1.0,3,3,1.0,1.0
83.0,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
86.0,1,3,0.3333333333333333,1,1,1.0,0.5
87.0,2,2,1.0,2,2,1.0,1.0
88.0,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
89.0,1,3,0.3333333333333333,1,2,0.5,0.4
90.0,2,4,0.5,2,2,1.0,0.6666666666666666
91.0,3,3,1.0,3,3,1.0,1.0
92.0,2,2,1.0,2,2,1.0,1.0
94.0,3,3,1.0,3,3,1.0,1.0
95.0,2,2,1.0,2,2,1.0,1.0
96.0,3,3,1.0,3,3,1.0,1.0
97.0,2,2,1.0,2,2,1.0,1.0
98.0,3,3,1.0,3,3,1.0,1.0
99.0,2,2,1.0,2,2,1.0,1.0
100.0,2,2,1.0,2,2,1.0,1.0
101.0,2,2,1.0,2,2,1.0,1.0
102.0,3,3,1.0,3,3,1.0,1.0
103.0,2,2,1.0,2,2,1.0,1.0
105.0,1,10,0.1,1,2,0.5,0.16666666666666669
106.0,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333
107.0,3,3,1.0,3,3,1.0,1.0
109.0,4,4,1.0,4,4,1.0,1.0
110.0,2,3,0.6666666666666666,2,2,1.0,0.8
112.0,2,3,0.6666666666666666,2,2,1.0,0.8
113.0,2,2,1.0,2,2,1.0,1.0
114.0,4,5,0.8,4,5,0.8,0.8000000000000002
115.0,2,2,1.0,2,2,1.0,1.0
117.0,1,1,1.0,1,1,1.0,1.0
118.0,4,4,1.0,4,4,1.0,1.0
120.0,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
123.0,4,4,1.0,4,4,1.0,1.0
124.0,1,1,1.0,1,1,1.0,1.0
125.0,4,5,0.8,4,4,1.0,0.888888888888889
126.0,2,4,0.5,2,4,0.5,0.5
127.0,1,1,1.0,1,1,1.0,1.0
128.0,2,2,1.0,2,2,1.0,1.0
129.0,3,3,1.0,3,3,1.0,1.0
130.0,1,1,1.0,1,1,1.0,1.0
131.0,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
132.0,3,4,0.75,3,3,1.0,0.8571428571428571
133.0,4,4,1.0,4,4,1.0,1.0
134.0,3,3,1.0,3,5,0.6,0.7499999999999999
136.0,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
137.0,4,4,1.0,4,4,1.0,1.0
138.0,1,3,0.3333333333333333,1,2,0.5,0.4
139.0,3,3,1.0,3,3,1.0,1.0
140.0,4,4,1.0,4,4,1.0,1.0
144.0,1,1,1.0,1,1,1.0,1.0
147.0,1,1,1.0,1,1,1.0,1.0
148.0,2,2,1.0,2,2,1.0,1.0
150.0,0,2,0.0,0,2,0.0,0.0
152.0,3,4,0.75,3,3,1.0,0.8571428571428571
155.0,4,5,0.8,4,5,0.8,0.8000000000000002
157.0,2,2,1.0,2,2,1.0,1.0
159.0,3,3,1.0,3,3,1.0,1.0
160.0,0,10,0.0,0,1,0.0,0.0
