ID,Topics,Text,NegPos
1,Room,"New, comfortable apartments",Positive
1,Staff,Staff is extremely helpful and easy to communicate with.,Positive
1,Location,"close to the airport, to very clean beach.",Positive
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday.",Positive
1,Price,,
1,Facility,,
1,Check-in,,
1,Check-out,,
2,Room1,"The room was very clean, well decorated and modern.",Positive
2,Room2,although not big.,Negative
2,Staff,The staff was very nice and helpful. all staff was very kind and helpful.,Positive
2,Location,,
2,Food,"the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive
2,Price,,
2,Facility,"I like hotels with a family atmosphere, cozy and not big.",Positive
2,Check-in,,
2,Check-out,,
3,Room,,
3,Staff,,
3,Location,the location is great and near the airport. bus stop is very close.,Positive
3,Food,,
3,Price,,
3,Facility,,
3,Check-in,,
3,Check-out,,
4,Room,Clean,Positive
4,Staff,Great staff,Positive
4,Price,Great Quality/price,Positive
4,Location,,
4,Food,,
4,Facility,,
4,Check-in,,
4,Check-out,,
5,Room,Clean and modern with very comfortable beds.,Positive
5,Location,in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.,Positive
5,Staff,,
5,Food,,
5,Price,,
5,Facility,,
5,Check-in,,
5,Check-out,,
6,Room,The room was exceptionally clean with a really comfortable bed.,Positive
6,Staff,,
6,Location,,
6,Food,,
6,Price,,
6,Facility,,
6,Check-in,,
6,Check-out,,
8,Room,renovated,Positive
8,Staff,lovely personal,Positive
8,Location,nice location,Positive
8,Food,,
8,Price,,
8,Facility,,
8,Check-in,,
8,Check-out,,
9,Room,,
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),Positive
9,Location,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),Positive
9,Food,couldn't eat breakfast due to dietary restrictions,Negative
9,Price,no need for 21 euro taxi,Positive
9,Facility,,
9,Check-in,,
9,Check-out,,
9,Room,,
9,Staff,,
9,Location,,
9,Food,possibility of purchasing fresh fruit or veg,
9,Price,,
9,Facility,,
9,Check-in,,
9,Check-out,,
10,Room,"Great modern room, comfortable bed",Positive
10,Location,quiet location,Positive
10,Staff,,
10,Food,,
10,Price,,
10,Facility,,
10,Check-in,,
10,Check-out,,
11,Room,The rooms are spacious and clean great to stay. I even got an upgrade which is always so nice.,Positive
11,Staff,"The staff here are amazing beyond expectations. Maria at reception is just great she really took time to explain where to go how to get there and so helpful. Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent smile. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great it's like a real caring family set up.",Positive
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros.,Positive
11,Food,The food is great and very reasonable prices.,Positive
11,Price,very reasonable prices,Positive
11,Facility,,
11,Check-in,,
11,Check-out,,
12,Room,Very clean and comfortable.,Positive
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive
12,Food,The breakfast was lovely with room service too.,Positive
12,Location,,
12,Price,,
12,Facility,,
12,Check-in,,
12,Check-out,,
13,Room1,"The rooms are lovely and new, very clean and comfortable.",Positive
13,Room2,The mattress was to my taste.,Positive
13,Staff,"The staff are so welcoming, we felt like staying with family.",Positive
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive
13,Food,,
13,Price,,
13,Facility,,
13,Check-in,,
13,Check-out,,
14,Room,,
14,Staff,,
14,Location1,close to the airport,Positive
14,Location2,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive
14,Food,,
14,Price,,
14,Facility,,
14,Check-in,,
14,Check-out,,
14,Room,,
14,Staff,The receptionist didn't speak English properly.,Negative
14,Location,You can hear the airplanes coming and leaving from the airport all the time.,Negative
14,Food,,
14,Price,,
14,Facility,"you have a feeling that people are living in the hotel, rather than staying at a hotel.",Negative
14,Check-in,,
14,Check-out,,
15,Room,,
15,Staff,The staff make it - particularly reception and the dining room.,Positive
15,Location,"reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive
15,Food,,
15,Price,,
15,Facility,,
15,Check-in,,
15,Check-out,,
15,Room,,
15,Staff,,
15,Location1,it is a bit on the edge of Larnaca,Negative
15,Location2,frequent buses to the centre,Positive
15,Food,,
15,Price,,
15,Facility,,
15,Check-in,,
15,Check-out,,
16,Room,"I liked the rooms- they are spacious, clean, the window view is nice too.",Positive
16,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive
16,Staff,,
16,Location,,
16,Price,,
16,Facility,,
16,Check-in,,
16,Check-out,,
17,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive
17,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive
17,Location,,
17,Food,,
17,Price,,
17,Facility,,
17,Check-in,,
17,Check-out,,
18,Room,"very bright, nice seating areas inside and out",Positive
18,Staff,extremely friendly reception and dining staff,Positive
18,Location,Bus every 20 minutes to the centre of Larnaka,Positive
18,Food,Meals well prepared and good value,Positive
18,Price,good value,Positive
18,Facility,A family run hotel,Positive
18,Check-in,,
18,Check-out,,
18,Room,,
18,Staff,,
18,Location,,
18,Food,,
18,Price,"Nothing, considering the price",Negative
18,Facility,,
18,Check-in,,
18,Check-out,,
19,Room,,
19,Staff,,
19,Location,Close to airport,Positive
19,Food,,
19,Price,,
19,Facility,,
19,Check-in,,
19,Check-out,,
20,Room,clean,Positive
20,Staff,friendly staff,Positive
20,Location,location,Positive
20,Food,,
20,Price,,
20,Facility,,
20,Check-in,,
20,Check-out,,
21,Room,The hotel is impressive how clean nice and comfortable it is.,Positive
21,Staff,what will bring me back is the staff and the owners. The owners have been super kind to me :).,Positive
21,Location,,
21,Food,Richard (the chef) is personally buying super fresh food for the restaurant. Everything from breakfast to dinner is absolutely delicious.,Positive
21,Price,,
21,Facility,,
21,Check-in,,
21,Check-out,,
22,Room1,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things.",Positive
22,Room2,might have needed another set of drawers if there were two of us.,Negative
