ID,pre_nom,pre_denom,Precision,re_nom,re_denom,Recall
1,3,4,0.75,3,3,1.0
2,3,5,0.6,3,3,1.0
3,1,1,1.0,1,1,1.0
4,3,3,1.0,3,3,1.0
5,2,2,1.0,2,2,1.0
6,1,1,1.0,1,1,1.0
8,2,3,0.6666666666666666,2,2,1.0
9,0,4,0.0,0,1,0.0
10,2,2,1.0,2,2,1.0
11,4,4,1.0,4,4,1.0
12,3,3,1.0,3,3,1.0
13,3,3,1.0,3,3,1.0
14,2,4,0.5,2,3,0.6666666666666666
15,1,3,0.3333333333333333,1,1,1.0
16,2,2,1.0,2,2,1.0
17,2,2,1.0,2,2,1.0
18,3,5,0.6,3,3,1.0
19,1,1,1.0,1,1,1.0
20,1,1,1.0,1,3,0.3333333333333333
21,2,3,0.6666666666666666,2,3,0.6666666666666666
22,3,6,0.5,3,4,0.75
23,1,1,1.0,1,1,1.0
24,1,1,1.0,1,1,1.0
25,1,1,1.0,1,1,1.0
26,4,6,0.6666666666666666,4,4,1.0
27,3,3,1.0,3,3,1.0
28,2,2,1.0,2,2,1.0
29,2,3,0.6666666666666666,2,2,1.0
30,3,3,1.0,3,3,1.0
31,4,4,1.0,4,4,1.0
32,2,2,1.0,2,2,1.0
33,4,5,0.8,4,4,1.0
34,0,1,0.0,0,3,0.0
35,1,1,1.0,1,1,1.0
36,4,6,0.6666666666666666,4,7,0.5714285714285714
37,3,4,0.75,3,3,1.0
38,1,1,1.0,1,1,1.0
39,1,1,1.0,1,1,1.0
40,2,2,1.0,2,2,1.0
41,4,5,0.8,4,4,1.0
42,1,1,1.0,1,2,0.5
43,1,1,1.0,1,1,1.0
44,3,4,0.75,3,3,1.0
45,2,4,0.5,2,4,0.5
46,1,1,1.0,1,1,1.0
47,2,2,1.0,2,2,1.0
48,2,2,1.0,2,2,1.0
49,3,3,1.0,3,3,1.0
50,1,3,0.3333333333333333,1,2,0.5
51,4,4,1.0,4,4,1.0
53,2,4,0.5,2,3,0.6666666666666666
54,1,1,1.0,1,1,1.0
55,1,2,0.5,1,1,1.0
56,3,5,0.6,3,3,1.0
57,2,3,0.6666666666666666,2,3,0.6666666666666666
58,3,3,1.0,3,3,1.0
59,2,2,1.0,2,2,1.0
60,0,2,0.0,0,1,0.0
61,2,3,0.6666666666666666,2,2,1.0
62,4,5,0.8,4,4,1.0
63,1,2,0.5,1,1,1.0
64,2,4,0.5,2,3,0.6666666666666666
65,4,4,1.0,4,4,1.0
66,3,5,0.6,3,5,0.6
67,1,1,1.0,1,1,1.0
68,3,3,1.0,3,3,1.0
69,1,3,0.3333333333333333,1,2,0.5
70,2,2,1.0,2,2,1.0
71,1,3,0.3333333333333333,1,3,0.3333333333333333
72,0,1,0.0,0,1,0.0
73,2,2,1.0,2,2,1.0
74,4,4,1.0,4,4,1.0
75,1,1,1.0,1,1,1.0
76,2,2,1.0,2,2,1.0
77,1,1,1.0,1,1,1.0
78,2,2,1.0,2,2,1.0
79,2,2,1.0,2,2,1.0
80,2,4,0.5,2,3,0.6666666666666666
81,2,3,0.6666666666666666,2,3,0.6666666666666666
82,3,3,1.0,3,3,1.0
83,2,3,0.6666666666666666,2,3,0.6666666666666666
84,4,4,1.0,4,4,1.0
85,2,4,0.5,2,3,0.6666666666666666
86,1,3,0.3333333333333333,1,2,0.5
87,2,2,1.0,2,2,1.0
88,3,3,1.0,3,3,1.0
89,1,2,0.5,1,2,0.5
90,4,4,1.0,4,4,1.0
91,3,3,1.0,3,3,1.0
92,2,2,1.0,2,2,1.0
93,2,5,0.4,2,2,1.0
94,3,3,1.0,3,3,1.0
95,1,2,0.5,1,2,0.5
96,3,3,1.0,3,3,1.0
97,2,2,1.0,2,2,1.0
98,2,3,0.6666666666666666,2,3,0.6666666666666666
99,2,2,1.0,2,2,1.0
100,2,2,1.0,2,2,1.0
101,2,2,1.0,2,2,1.0
102,3,3,1.0,3,3,1.0
103,2,2,1.0,2,2,1.0
104,1,2,0.5,1,1,1.0
105,2,2,1.0,2,2,1.0
106,2,3,0.6666666666666666,2,3,0.6666666666666666
107,3,3,1.0,3,3,1.0
109,3,4,0.75,3,3,1.0
110,1,2,0.5,1,1,1.0
111,2,2,1.0,2,2,1.0
112,1,3,0.3333333333333333,1,1,1.0
113,2,2,1.0,2,2,1.0
119,2,3,0.6666666666666666,2,3,0.6666666666666666
120,2,3,0.6666666666666666,2,3,0.6666666666666666
122,2,2,1.0,2,2,1.0
123,2,4,0.5,2,3,0.6666666666666666
124,1,1,1.0,1,1,1.0
126,2,4,0.5,2,4,0.5
131,2,4,0.5,2,3,0.6666666666666666
133,0,4,0.0,0,1,0.0
137,3,3,1.0,3,4,0.75
138,2,3,0.6666666666666666,2,2,1.0
139,3,3,1.0,3,3,1.0
150,0,2,0.0,0,2,0.0
152,0,3,0.0,0,1,0.0
154,0,3,0.0,0,1,0.0
171,1,4,0.25,1,1,1.0
179,1,3,0.3333333333333333,1,1,1.0
180,1,4,0.25,1,1,1.0
190,1,5,0.2,1,1,1.0
195,1,5,0.2,1,1,1.0
196,1,2,0.5,1,1,1.0
208,1,2,0.5,1,1,1.0
209,1,4,0.25,1,1,1.0
213,1,3,0.3333333333333333,1,1,1.0
433,1,6,0.16666666666666666,1,1,1.0
436,1,5,0.2,1,2,0.5
437,3,4,0.75,3,3,1.0
439,2,4,0.5,2,2,1.0
447,1,2,0.5,1,1,1.0
453,1,3,0.3333333333333333,1,2,0.5
454,1,1,1.0,1,1,1.0
455,2,6,0.3333333333333333,2,3,0.6666666666666666
456,2,8,0.25,2,2,1.0
457,1,1,1.0,1,1,1.0
458,1,3,0.3333333333333333,1,3,0.3333333333333333
459,1,2,0.5,1,1,1.0
460,2,5,0.4,2,2,1.0
461,0,3,0.0,0,1,0.0
474,2,4,0.5,2,2,1.0
475,1,1,1.0,1,1,1.0
483,1,3,0.3333333333333333,1,1,1.0
484,0,0,0.0,0,2,0.0
491,1,4,0.25,1,1,1.0
492,1,2,0.5,1,1,1.0
510,1,4,0.25,1,1,1.0
521,1,3,0.3333333333333333,1,1,1.0
538,0,2,0.0,0,1,0.0
540,1,4,0.25,1,1,1.0
543,0,2,0.0,0,1,0.0
548,1,2,0.5,1,1,1.0
560,1,3,0.3333333333333333,1,1,1.0
562,1,3,0.3333333333333333,1,1,1.0
572,1,2,0.5,1,1,1.0
581,1,3,0.3333333333333333,1,1,1.0
594,0,6,0.0,0,1,0.0
596,0,0,0.0,0,1,0.0
603,1,3,0.3333333333333333,1,1,1.0
613,0,0,0.0,0,1,0.0
617,0,0,0.0,0,1,0.0
622,0,0,0.0,0,1,0.0
623,2,3,0.6666666666666666,2,2,1.0
627,1,5,0.2,1,1,1.0
630,0,2,0.0,0,1,0.0
644,1,4,0.25,1,1,1.0
648,0,3,0.0,0,1,0.0
649,1,5,0.2,1,1,1.0
655,1,4,0.25,1,1,1.0
661,1,3,0.3333333333333333,1,1,1.0
666,1,4,0.25,1,1,1.0
