ID,pre_nom,pre_denom,Precision,re_nom,re_denom,Recall,F1
1,2,3,0.6666666666666666,2,4,0.5,0.5714285714285715
3,0,0,0.0,0,1,0.0,0.0
4,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333
5,1,2,0.5,1,2,0.5,0.5
6,1,1,1.0,1,1,1.0,1.0
7,0,1,0.0,0,0,0.0,0.0
8,2,3,0.6666666666666666,2,2,1.0,0.8
9,0,5,0.0,0,1,0.0,0.0
10,1,1,1.0,1,2,0.5,0.6666666666666666
11,0,0,0.0,0,4,0.0,0.0
12,0,1,0.0,0,3,0.0,0.0
13,3,3,1.0,3,3,1.0,1.0
14,1,5,0.2,1,3,0.3333333333333333,0.25
15,1,2,0.5,1,3,0.3333333333333333,0.4
16,2,2,1.0,2,2,1.0,1.0
17,2,2,1.0,2,2,1.0,1.0
19,1,1,1.0,1,1,1.0,1.0
20,1,2,0.5,1,2,0.5,0.5
22,3,4,0.75,3,5,0.6,0.6666666666666665
23,1,1,1.0,1,1,1.0,1.0
24,0,0,0.0,0,1,0.0,0.0
25,1,1,1.0,1,1,1.0,1.0
26,3,7,0.42857142857142855,3,4,0.75,0.5454545454545454
27,2,2,1.0,2,3,0.6666666666666666,0.8
28,1,1,1.0,1,2,0.5,0.6666666666666666
30,2,5,0.4,2,3,0.6666666666666666,0.5
31,3,4,0.75,3,4,0.75,0.75
32,1,2,0.5,1,2,0.5,0.5
34,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
35,0,0,0.0,0,1,0.0,0.0
36,0,4,0.0,0,7,0.0,0.0
38,0,1,0.0,0,1,0.0,0.0
39,1,1,1.0,1,1,1.0,1.0
40,0,1,0.0,0,2,0.0,0.0
41,4,4,1.0,4,5,0.8,0.888888888888889
42,2,2,1.0,2,2,1.0,1.0
43,1,1,1.0,1,1,1.0,1.0
45,1,1,1.0,1,4,0.25,0.4
46,1,1,1.0,1,1,1.0,1.0
47,2,3,0.6666666666666666,2,2,1.0,0.8
48,2,2,1.0,2,2,1.0,1.0
49,3,3,1.0,3,3,1.0,1.0
50,2,2,1.0,2,2,1.0,1.0
52,0,1,0.0,0,0,0.0,0.0
53,2,3,0.6666666666666666,2,4,0.5,0.5714285714285715
54,1,2,0.5,1,1,1.0,0.6666666666666666
55,1,4,0.25,1,2,0.5,0.3333333333333333
56,2,4,0.5,2,4,0.5,0.5
57,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
58,1,1,1.0,1,4,0.25,0.4
59,0,2,0.0,0,2,0.0,0.0
60,1,1,1.0,1,1,1.0,1.0
61,2,2,1.0,2,2,1.0,1.0
62,1,3,0.3333333333333333,1,5,0.2,0.25
63,0,1,0.0,0,2,0.0,0.0
64,4,5,0.8,4,5,0.8,0.8000000000000002
67,1,1,1.0,1,1,1.0,1.0
68,3,3,1.0,3,3,1.0,1.0
70,0,1,0.0,0,3,0.0,0.0
71,3,4,0.75,3,4,0.75,0.75
72,0,2,0.0,0,1,0.0,0.0
73,2,2,1.0,2,2,1.0,1.0
74,3,4,0.75,3,4,0.75,0.75
75,1,1,1.0,1,1,1.0,1.0
76,0,1,0.0,0,3,0.0,0.0
