ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Cosine_Similarity,IsCorrect
1,Facility,"New, comfortable apartments",Positive,Positive,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,0.06712194391393675,False
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,Positive,Tasty food on the first floor,0.5162656341551675,False
1,Location,"close to the airport, to very clean beach.",Positive,Positive,"close to the airport, to very clean beach.",1.0,True
1,Room,,,Positive,"New, comfortable apartments",0.0,False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Positive,Staff is extremely helpful and easy to communicate with,1.0,True
3,Location,the location is great and near the airport. bus stop is very close.,Positive,Positive,the location is great and near the airport. bus stop is very close.,1.0000000000000002,True
4,Price,Great Quality/price,Positive,Positive,Great Quality/price,1.0000000000000002,True
4,Room,Clean,Positive,Positive,Clean,1.0,True
4,Staff,Great stuff,Positive,Positive,Great stuff,1.0,True
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,Positive,in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.,1.0000000000000002,True
5,Room,Clean and modern with very comfortable beds,Positive,Positive,"Clean and modern with very comfortable beds,",1.0,True
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,Positive,The room was exceptionally clean with a really comfortable bed,1.0,True
8,Facility,,,Positive,renovated,0.0,False
8,Location,nice location,Positive,Positive,nice location,1.0,True
8,Staff,lovely personal,Positive,Positive,lovely personal,1.0,True
9,Food,,,Negative,"couldn't eat breakfast due to dietary restrictions, maybe possibility of purchasing fresh fruit or veg",0.0,False
9,Location,,,Positive,nearby bus takes to town-cntre (and airport by the way),0.0,False
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,Positive,very helpful host,0.3753778366811924,False
9,Taxi-issue,,,Positive,no need for 21 euro taxi,0.0,False
10,Location,quiet location,Positive,Positive,quiet location.,1.0000000000000002,True
10,Room,Great modern room comfortable bed,Positive,Positive,Great modern room comfortable bed,1.0000000000000002,True
11,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,Positive,the food is great,0.4098943952354739,False
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,Positive,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,1.0000000000000002,True
11,Price,,,Positive,very reasonable prices ..,0.0,False
11,Room,The rooms are spacious and clean great to stay .. I even got an upgrade,Positive,Positive,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,0.861237787953337,True
11,Staff,"The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Positive,Positive,"The staff here are amazing beyond expectations..***** Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁 Even the cleaning lady is so friendly and so nice to talk to . The owners are also great it's like a real caring family set up ...",0.9424022358857651,True
12,Food,The breakfast was lovely with room service too.,Positive,Positive,The breakfast was lovely with room service too.,1.0000000000000002,True
12,Room,Very clean and comfortable.,Positive,Positive,Very clean and comfortable.,1.0,True
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,Positive,The staff were exceptional. So helpful and friendly. Went out of their way for us.,1.0,True
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,Positive,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",1.0000000000000002,True
13,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,Positive,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",1.0,True
13,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,Positive,"The staff are so welcoming, we felt like staying with family.",1.0000000000000002,True
14,Location,,,Negative,"You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",0.0,False
