ID,FullPrompt,Topics,Text,NegPos
1,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. The most important constraint is not to include any extra characters such as newline characters, `json`, or backticks, or any other unnecessary text outside of the [output format]. If there are two or more elements of the same Topic, number each so that they do not conflict when converted to json format data. However, if they have the same NegPos label, keep them in one Text as much as possible.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}
User: New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Room,"New, comfortable apartments",Positive
1,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. The most important constraint is not to include any extra characters such as newline characters, `json`, or backticks, or any other unnecessary text outside of the [output format]. If there are two or more elements of the same Topic, number each so that they do not conflict when converted to json format data. However, if they have the same NegPos label, keep them in one Text as much as possible.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}
User: New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Staff,Staff is extremely helpful and easy to communicate with,Positive
1,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. The most important constraint is not to include any extra characters such as newline characters, `json`, or backticks, or any other unnecessary text outside of the [output format]. If there are two or more elements of the same Topic, number each so that they do not conflict when converted to json format data. However, if they have the same NegPos label, keep them in one Text as much as possible.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}
User: New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Location,"close to the airport, to very clean beach",Positive
1,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. The most important constraint is not to include any extra characters such as newline characters, `json`, or backticks, or any other unnecessary text outside of the [output format]. If there are two or more elements of the same Topic, number each so that they do not conflict when converted to json format data. However, if they have the same NegPos label, keep them in one Text as much as possible.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}
User: New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Food,Tasty food on the first floor,Positive
1,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. The most important constraint is not to include any extra characters such as newline characters, `json`, or backticks, or any other unnecessary text outside of the [output format]. If there are two or more elements of the same Topic, number each so that they do not conflict when converted to json format data. However, if they have the same NegPos label, keep them in one Text as much as possible.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}
User: New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Price,,
1,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. The most important constraint is not to include any extra characters such as newline characters, `json`, or backticks, or any other unnecessary text outside of the [output format]. If there are two or more elements of the same Topic, number each so that they do not conflict when converted to json format data. However, if they have the same NegPos label, keep them in one Text as much as possible.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}
User: New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Facility,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive
1,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. The most important constraint is not to include any extra characters such as newline characters, `json`, or backticks, or any other unnecessary text outside of the [output format]. If there are two or more elements of the same Topic, number each so that they do not conflict when converted to json format data. However, if they have the same NegPos label, keep them in one Text as much as possible.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}
User: New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Check-in,,
1,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. The most important constraint is not to include any extra characters such as newline characters, `json`, or backticks, or any other unnecessary text outside of the [output format]. If there are two or more elements of the same Topic, number each so that they do not conflict when converted to json format data. However, if they have the same NegPos label, keep them in one Text as much as possible.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}
User: New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Check-out,,
1,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. The most important constraint is not to include any extra characters such as newline characters, `json`, or backticks, or any other unnecessary text outside of the [output format]. If there are two or more elements of the same Topic, number each so that they do not conflict when converted to json format data. However, if they have the same NegPos label, keep them in one Text as much as possible.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}
User: New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Taxi-issue,,
1,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. The most important constraint is not to include any extra characters such as newline characters, `json`, or backticks, or any other unnecessary text outside of the [output format]. If there are two or more elements of the same Topic, number each so that they do not conflict when converted to json format data. However, if they have the same NegPos label, keep them in one Text as much as possible.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}
User: New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Booking-issue,,
