ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Cosine_Similarity,IsCorrect
1,Facility,"New, comfortable apartments",Positive,,,0.0,False
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,Positive,"Tasty food on the first floor,",0.5070407273948114,False
1,Location,"close to the airport, to very clean beach.",Positive,Positive,"New, comfortable apartments, close to the airport, to very clean beach.",0.7159903664399873,True
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Positive,Staff is extremely helpful and easy to communicate with,1.0000000000000002,True
3,Location,the location is great and near the airport. bus stop is very close.,Positive,,,0.0,False
4,Price,Great Quality/price,Positive,Positive,"cheap, Great Quality/price",0.8631940039996946,True
4,Room,,,Negative,although not big,0.0,False
4,Room,Clean,Positive,Positive,"The room was very clean, well decorated and modern",0.28353549778274395,False
4,Staff,Great stuff,Positive,,,0.0,False
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,Positive,"in a very convenient location, a great beach",0.6061093475836912,False
5,Room,Clean and modern with very comfortable beds,Positive,Positive,Clean and modern with very comfortable beds,1.0,True
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,Positive,"The room was exceptionally clean, with a really comfortable bed",1.0000000000000002,True
7,Room,,,Positive,great,0.0,False
8,Location,nice location,Positive,Positive,nice location,1.0000000000000002,True
8,Room,,,Positive,renovated,0.0,False
8,Staff,lovely personal,Positive,Positive,lovely personal,1.0000000000000002,True
9,Food,,,Negative,couldn't eat breakfast,0.0,False
9,Food,,,Positive,maybe possibility of purchasing fresh fruit or veg,0.0,False
9,Location,,,Positive,nearby bus takes to town-cntre (and airport),0.0,False
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,Positive,very helpful host,0.3756106166305138,False
9,Taxi-issue,,,Negative,no need for 21 euro taxi,0.0,False
10,Location,quiet location,Positive,,,0.0,False
10,Room,Great modern room comfortable bed,Positive,Positive,"Great modern room, comfortable bed, quiet location",0.8105656338401616,True
11,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,,,0.0,False
11,Food,,,"['Positive', 'Positive']",Oh yeah the food is great to and very reasonable prices .,0.0,False
