ID,pre_nom,pre_denom,Precision,re_nom,re_denom,Recall,F1
1,3,4,0.75,3,3,1.0,0.8571428571428571
2,3,5,0.6,3,3,1.0,0.7499999999999999
3,1,1,1.0,1,1,1.0,1.0
4,3,3,1.0,3,3,1.0,1.0
5,2,2,1.0,2,2,1.0,1.0
6,1,1,1.0,1,1,1.0,1.0
8,2,3,0.6666666666666666,2,2,1.0,0.8
9,0,5,0.0,0,1,0.0,0.0
10,2,2,1.0,2,2,1.0,1.0
11,3,5,0.6,3,4,0.75,0.6666666666666665
12,3,3,1.0,3,3,1.0,1.0
13,3,3,1.0,3,3,1.0,1.0
14,2,5,0.4,2,3,0.6666666666666666,0.5
15,1,3,0.3333333333333333,1,1,1.0,0.5
16,2,2,1.0,2,2,1.0,1.0
17,2,2,1.0,2,2,1.0,1.0
18,3,6,0.5,3,3,1.0,0.6666666666666666
19,1,1,1.0,1,1,1.0,1.0
20,2,2,1.0,2,3,0.6666666666666666,0.8
21,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
22,3,6,0.5,3,4,0.75,0.6
23,1,1,1.0,1,1,1.0,1.0
24,1,1,1.0,1,1,1.0,1.0
25,1,1,1.0,1,1,1.0,1.0
26,4,6,0.6666666666666666,4,4,1.0,0.8
27,3,3,1.0,3,3,1.0,1.0
28,2,2,1.0,2,2,1.0,1.0
29,2,3,0.6666666666666666,2,2,1.0,0.8
30,3,3,1.0,3,3,1.0,1.0
31,4,5,0.8,4,4,1.0,0.888888888888889
32,2,2,1.0,2,2,1.0,1.0
33,3,5,0.6,3,4,0.75,0.6666666666666665
34,3,4,0.75,3,3,1.0,0.8571428571428571
35,0,1,0.0,0,1,0.0,0.0
36,4,7,0.5714285714285714,4,7,0.5714285714285714,0.5714285714285714
37,3,4,0.75,3,3,1.0,0.8571428571428571
38,1,1,1.0,1,1,1.0,1.0
39,1,1,1.0,1,1,1.0,1.0
40,2,2,1.0,2,2,1.0,1.0
41,4,5,0.8,4,4,1.0,0.888888888888889
42,1,1,1.0,1,2,0.5,0.6666666666666666
43,1,1,1.0,1,1,1.0,1.0
44,3,4,0.75,3,3,1.0,0.8571428571428571
45,3,4,0.75,3,4,0.75,0.75
46,1,1,1.0,1,1,1.0,1.0
47,2,2,1.0,2,2,1.0,1.0
48,2,2,1.0,2,2,1.0,1.0
49,3,3,1.0,3,3,1.0,1.0
50,1,3,0.3333333333333333,1,2,0.5,0.4
51,4,4,1.0,4,4,1.0,1.0
53,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
54,1,1,1.0,1,1,1.0,1.0
55,1,2,0.5,1,1,1.0,0.6666666666666666
56,3,5,0.6,3,3,1.0,0.7499999999999999
57,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
58,3,3,1.0,3,3,1.0,1.0
59,2,2,1.0,2,2,1.0,1.0
60,0,2,0.0,0,1,0.0,0.0
61,2,3,0.6666666666666666,2,2,1.0,0.8
62,4,5,0.8,4,4,1.0,0.888888888888889
63,1,2,0.5,1,1,1.0,0.6666666666666666
64,2,5,0.4,2,3,0.6666666666666666,0.5
65,4,4,1.0,4,4,1.0,1.0
66,3,5,0.6,3,5,0.6,0.6
67,1,1,1.0,1,1,1.0,1.0
68,3,3,1.0,3,3,1.0,1.0
69,1,3,0.3333333333333333,1,2,0.5,0.4
70,2,2,1.0,2,2,1.0,1.0
71,3,4,0.75,3,3,1.0,0.8571428571428571
72,0,2,0.0,0,1,0.0,0.0
73,2,2,1.0,2,2,1.0,1.0
74,4,4,1.0,4,4,1.0,1.0
75,1,1,1.0,1,1,1.0,1.0
76,2,2,1.0,2,2,1.0,1.0
77,1,2,0.5,1,1,1.0,0.6666666666666666
78,2,2,1.0,2,2,1.0,1.0
79,2,2,1.0,2,2,1.0,1.0
80,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
81,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
82,3,3,1.0,3,3,1.0,1.0
83,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
84,4,4,1.0,4,4,1.0,1.0
85,3,3,1.0,3,3,1.0,1.0
86,1,2,0.5,1,2,0.5,0.5
87,2,2,1.0,2,2,1.0,1.0
88,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
89,2,3,0.6666666666666666,2,2,1.0,0.8
90,4,4,1.0,4,4,1.0,1.0
91,3,3,1.0,3,3,1.0,1.0
92,2,2,1.0,2,2,1.0,1.0
93,2,5,0.4,2,2,1.0,0.5714285714285715
94,3,3,1.0,3,3,1.0,1.0
95,2,2,1.0,2,2,1.0,1.0
96,3,3,1.0,3,3,1.0,1.0
97,2,2,1.0,2,2,1.0,1.0
98,3,3,1.0,3,3,1.0,1.0
99,2,2,1.0,2,2,1.0,1.0
100,2,2,1.0,2,2,1.0,1.0
101,2,2,1.0,2,2,1.0,1.0
102,3,3,1.0,3,3,1.0,1.0
103,2,3,0.6666666666666666,2,2,1.0,0.8
104,1,2,0.5,1,1,1.0,0.6666666666666666
105,2,2,1.0,2,2,1.0,1.0
106,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
107,3,3,1.0,3,3,1.0,1.0
109,3,4,0.75,3,3,1.0,0.8571428571428571
110,1,2,0.5,1,1,1.0,0.6666666666666666
111,2,2,1.0,2,2,1.0,1.0
112,1,3,0.3333333333333333,1,1,1.0,0.5
113,2,2,1.0,2,2,1.0,1.0
119,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
120,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
122,2,2,1.0,2,2,1.0,1.0
123,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
124,1,1,1.0,1,1,1.0,1.0
126,2,5,0.4,2,4,0.5,0.4444444444444445
131,3,5,0.6,3,3,1.0,0.7499999999999999
133,0,4,0.0,0,1,0.0,0.0
137,3,3,1.0,3,4,0.75,0.8571428571428571
138,2,3,0.6666666666666666,2,2,1.0,0.8
139,3,3,1.0,3,3,1.0,1.0
150,0,2,0.0,0,2,0.0,0.0
152,0,3,0.0,0,1,0.0,0.0
154,1,3,0.3333333333333333,1,1,1.0,0.5
171,1,5,0.2,1,1,1.0,0.33333333333333337
179,1,3,0.3333333333333333,1,1,1.0,0.5
180,1,4,0.25,1,1,1.0,0.4
190,1,5,0.2,1,1,1.0,0.33333333333333337
195,1,4,0.25,1,1,1.0,0.4
196,1,2,0.5,1,1,1.0,0.6666666666666666
