ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Cosine_Similarity,IsCorrect
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,Positive,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday.",1.0000000000000004,True
1,Location,"close to the airport, to very clean beach.",Positive,Positive,"close to the airport, to very clean beach.",1.0,True
1,Room,,,Positive,"New, comfortable apartments.",0.0,False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Positive,Staff is extremely helpful and easy to communicate with.,1.0000000000000002,True
2,Facility,,,Positive,"I like hotels with a family atmosphere, cozy and not big.",0.0,False
2,Food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful.",Positive,Positive,"the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great.",0.8765363845968414,True
2,Room,,,Negative,although not big.,0.0,False
2,Room,"The room was very clean, well decorated and modern, although not big.",Positive,Positive,"The room was very clean, well decorated and modern.",0.7746288439244202,True
2,Staff,The staff was very nice and helpful!,Positive,Positive,The staff was very nice and helpful. all staff was very kind and helpful.,0.8603852741623805,True
3,Location,the location is great and near the airport. bus stop is very close.,Positive,Positive,the location is great and near the airport. bus stop is very close.,1.0000000000000002,True
4,Price,Great Quality/price,Positive,Positive,Great Quality/price,1.0000000000000002,True
4,Room,Clean,Positive,Positive,Clean,1.0,True
4,Staff,Great stuff,Positive,Positive,Great stuff,1.0000000000000002,True
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,Positive,in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.,1.0000000000000002,True
5,Room,Clean and modern with very comfortable beds,Positive,Positive,Clean and modern with very comfortable beds.,1.0,True
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,Positive,The room was exceptionally clean with a really comfortable bed.,1.0,True
8,Facility,,,Positive,renovated,0.0,False
8,Location,nice location,Positive,Positive,nice location,1.0000000000000002,True
8,Staff,lovely personal,Positive,Positive,lovely personal,1.0,True
9,Food,,,Negative,couldn't eat breakfast due to dietary restrictions,0.0,False
9,Location,,,Positive,nearby bus takes to town-centre (and airport by the way so no need for 21 euro taxi),0.0,False
