ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Sentiment_Match
1,Facility,"New, comfortable apartments",Positive,,,False
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,Positive,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday.",True
1,Location,"close to the airport, to very clean beach.",Positive,Positive,"close to the airport, to very clean beach.",True
1,Room,,,Positive,"New, comfortable apartments.",False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Positive,Staff is extremely helpful and easy to communicate with.,True
3,Location,the location is great and near the airport. bus stop is very close.,Positive,Positive,the location is great and near the airport. bus stop is very close.,True
4,Price,Great Quality/price,Positive,Positive,Great Quality/price,True
4,Room,Clean,Positive,Positive,Clean,True
4,Staff,Great stuff,Positive,Positive,Great stuff,True
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,Positive,in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.,True
5,Room,Clean and modern with very comfortable beds,Positive,Positive,Clean and modern with very comfortable beds.,True
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,Positive,The room was exceptionally clean with a really comfortable bed.,True
8,Facility,,,Positive,renovated,False
8,Location,nice location,Positive,Positive,nice location,True
8,Staff,lovely personal,Positive,Positive,lovely personal,True
9,Food,,,Negative,couldn't eat breakfast due to dietary restrictions,False
9,Food,,,Positive,possibility of purchasing fresh fruit or veg,False
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,Positive,very helpful host showed us how nearby bus takes to town-centre (and airport by the way so no need for 21 euro taxi),True
9,Taxi-issue,,,Positive,no need for 21 euro taxi,False
10,Location,quiet location,Positive,Positive,quiet location.,True
10,Room,Great modern room comfortable bed,Positive,Positive,Great modern room comfortable bed.,True
11,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,Positive,the food is great to and very reasonable prices.,True
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,Positive,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros.,True
11,Room,The rooms are spacious and clean great to stay .. I even got an upgrade,Positive,Positive,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,True
11,Staff,"The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Positive,Positive,"The staff here are amazing beyond expectations.. Maria at reception is just great she really took time to explain where to go how to get there and so helpful., Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent smile., Even the cleaning lady is so friendly and so nice to talk to., The owners are also great it's like a real caring family set up.",True
12,Food,The breakfast was lovely with room service too.,Positive,Positive,The breakfast was lovely with room service too.,True
12,Room,Very clean and comfortable.,Positive,Positive,Very clean and comfortable.,True
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,Positive,The staff were exceptional. So helpful and friendly. Went out of their way for us.,True
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,Positive,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",True
13,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,Positive,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",True
