ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Cosine_Similarity,IsCorrect
1,Booking-issue,,,Null,Null,0.0,False
1,Check-in,,,Null,Null,0.0,False
1,Check-out,,,Null,Null,0.0,False
1,Facility,,,Null,Null,0.0,False
1,Facility,"New, comfortable apartments",Positive,,,0.0,False
1,Food,,,Null,Null,0.0,False
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,,,0.0,False
1,Location,,,Null,Null,0.0,False
1,Location,"close to the airport, to very clean beach.",Positive,,,0.0,False
1,Price,,,Null,Null,0.0,False
1,Room,,,Null,Null,0.0,False
1,Staff,,,Null,Null,0.0,False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,,,0.0,False
1,Taxi-issue,,,Null,Null,0.0,False
3,Location,the location is great and near the airport. bus stop is very close.,Positive,Positive,the location is great and near the airport. bus stop is very close.,1.0,True
4,Price,Great Quality/price,Positive,Positive,Great Quality/price,1.0,True
4,Room,Clean,Positive,Positive,Great,0.0,False
4,Staff,Great stuff,Positive,,,0.0,False
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,Positive,"in a very convenient location, an easy stroll to numerous nice restaurants and a great beach",1.0000000000000002,True
5,Room,Clean and modern with very comfortable beds,Positive,Positive,Clean and modern with very comfortable beds,1.0,True
6,Check-in,,,Positive,test,0.0,False
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,Positive,"exceptionally clean, really comfortable bed",0.8076189670270193,True
7,Check-in,,,Positive,test,0.0,False
7,Room,,,Positive,great,0.0,False
8,Booking-issue,,,Null,Null,0.0,False
8,Check-in,,,Null,Null,0.0,False
8,Check-out,,,Null,Null,0.0,False
8,Facility,,,Null,Null,0.0,False
8,Food,,,Null,Null,0.0,False
8,Location,,,Null,Null,0.0,False
8,Location,nice location,Positive,Positive,nice location,1.0000000000000002,True
8,Price,,,Null,Null,0.0,False
8,Room,,,Null,Null,0.0,False
8,Room,,,Positive,renovated,0.0,False
8,Staff,,,Null,Null,0.0,False
8,Staff,lovely personal,Positive,Positive,lovely personal,1.0,True
8,Taxi-issue,,,Null,Null,0.0,False
9,Food,,,Negative,couldn't eat breakfast due to dietary restrictions,0.0,False
9,Location,,,Positive,"nearby bus takes to town-cntre (and airport by the way), possibility of purchasing fresh fruit or veg",0.0,False
9,Price,,,Negative,21 euro taxi,0.0,False
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,Positive,very helpful host,0.37246207904702955,False
10,Location,quiet location,Positive,Positive,quiet location,1.0000000000000002,True
10,Room,Great modern room comfortable bed,Positive,Positive,great modern room comfortable bed,1.0,True
11,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,Positive,Oh yeah the food is great to and very reasonable prices ..,1.0,True
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,,,0.0,False
11,Price,,,Positive,very reasonable prices ..,0.0,False
11,Room,The rooms are spacious and clean great to stay .. I even got an upgrade,Positive,Positive,"spacious and clean great to stay, I even got an upgrade which is always so nice.",0.7813273136546752,True
11,Staff,"The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Positive,Positive,"Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏, Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁",0.8421286315185014,True
12,Food,The breakfast was lovely with room service too.,Positive,Positive,Breakfast was lovely with room service too.,0.9815283162109553,True
12,Room,,,Negative,Couldn't stay longer,0.0,False
12,Room,Very clean and comfortable.,Positive,Positive,Very clean and comfortable,1.0,True
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,Positive,The staff were exceptional. So helpful and friendly. Went out of their way for us.,1.0000000000000002,True
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,,,0.0,False
13,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,,,0.0,False
13,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,,,0.0,False
14,Facility,,,Positive,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel,0.0,False
14,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,Positive,The hotel is close to the airport,0.42123999513375704,False
14,Room,You can hear the airplanes coming and leaving from the airport all the time,Negative,,,0.0,False
14,Staff,The receptionist didn't speak English properly,Negative,,,0.0,False
15,Check-in,,,Positive,test,0.0,False
15,Facility,,,Negative,test,0.0,False
15,Food,,,Negative,test,0.0,False
15,Location,it is a bit on the edge of Larnaca - with frequent busses to the centre.,Negative,,,0.0,False
15,Location,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,Positive,"could have a stroll along the nearby beach, reasonably close to the Airport for an early morning flight, test",0.8106385594542856,True
15,Price,,,Positive,test,0.0,False
15,Room,,,Null,Null,0.0,False
15,Staff,The staff make it ,Positive,Positive,particularly reception and the dining room,0.04895045955778086,False
16,Check-in,,,Positive,test,0.0,False
16,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,Positive,"tasty, made with care, olive oil galore, herbs- absolutely delicious!",0.6585475453303881,False
16,Location,,,Positive,test,0.0,False
